,function_class,function_id,int,lr2,max,eps_ratio,disp,nbc
0,1,1,335.9201903476535,0.71885357311692,7.878710464183929,0.6056056056056053,0.7769203471968921,-0.47491294064938394
1,1,1,707.8106189850021,0.8376914917283569,8.214469467938189,0.7057057057057055,0.8036925817634288,-0.4579831278139887
2,1,1,42.724732905002,0.8040554208421776,8.414653037478397,0.6856856856856854,0.789201656422341,-0.4751957700194239
3,1,1,124.281372265002,0.7840661021117619,8.046171035711097,0.6456456456456453,0.7958111626339395,-0.47952458948228965
4,1,1,213.39176522500202,0.6927683979795927,6.8111305320618145,0.5655655655655653,0.777463141611555,-0.5058779275674328
5,1,1,58.470282345002005,0.7498998389422217,7.427404685315459,0.6256256256256253,0.7836827051348457,-0.4866771859026713
6,1,1,-742.276269974998,0.7456207885478454,7.837378722572037,0.6056056056056053,0.7816714630911497,-0.5021488195355275
7,1,1,237.40780170500202,0.7827493371129199,7.629146971433077,0.6256256256256253,0.7753966484673307,-0.47290078157070015
8,1,1,176.09204170500203,0.7873455396476471,7.430745559071241,0.6256256256256253,0.7576991205585412,-0.48653382858019256
9,1,1,270.794323305002,0.7759660041641477,7.978618479641306,0.6256256256256253,0.7984876242564377,-0.46833634870352125
10,1,1,517.167432425002,0.7929535220233677,7.645137302125882,0.6656656656656653,0.8129213795570982,-0.49249173885463005
11,1,1,687.0106503450021,0.7569301796387675,8.324869467938186,0.6256256256256253,0.800603384262132,-0.49603335704352586
12,1,1,160.072719465002,0.7127680523820005,8.000447436038879,0.6056056056056053,0.7813035246714982,-0.49520536527247394
13,1,1,258.537457385002,0.8143818327007829,7.978241313382389,0.7057057057057055,0.7821641260977643,-0.4795957040431551
14,1,1,493.14624266500203,0.7945958700637036,8.11846946793818,0.6456456456456453,0.7852936864428055,-0.48140048250530454
15,1,1,255.74754378500202,0.7174775107334732,6.444653008566539,0.5855855855855853,0.8030871367915016,-0.5038297829584403
16,1,1,-8.258915734997982,0.7998112420643924,7.661247436038874,0.6456456456456453,0.8128045283244056,-0.4667726319615629
17,1,1,442.434755945002,0.7922261268408488,8.288069467938168,0.6456456456456453,0.7850576471493163,-0.4756955183924615
18,1,1,68.945267305002,0.6904624931215406,6.6206402375145785,0.6056056056056053,0.7800521717496574,-0.5018104481779788
19,1,1,307.422736745002,0.7229964457038174,6.974171035711105,0.5855855855855853,0.8054858595999337,-0.4941134830694732
20,1,1,148.78764682500204,0.7883834463996741,7.542978722572029,0.6456456456456453,0.7726181897092538,-0.476948210071926
21,1,1,259.61718474500196,0.7556180776500958,6.934253008566546,0.6256256256256253,0.7935382101835731,-0.4865898124687015
22,1,1,284.09461514500197,0.68993057379387,7.92204743603888,0.5655655655655653,0.7847408836499068,-0.4938572309278798
23,1,1,132.395500265002,0.747926978555526,7.726240237514579,0.6456456456456453,0.808332514803204,-0.4781291928717918
24,1,1,341.255744745002,0.7645810855591262,7.938178722572047,0.6456456456456453,0.7782535949411065,-0.4965530150373654
25,1,1,231.06202378500205,0.7011710754759382,7.538047436038878,0.5855855855855853,0.8094879795558879,-0.5001479687632719
26,1,1,203.28768522500204,0.7953289342177442,8.114047436038886,0.6656656656656653,0.8006948618198393,-0.4683120827351738
27,1,1,91.77912778500205,0.8091992306098228,7.437004685315449,0.6856856856856854,0.81496717123649,-0.46110169333565376
28,1,1,211.585774825002,0.8278787320673391,7.817616217658275,0.6856856856856854,0.8080107028989569,-0.4700274330372622
29,1,1,109.46647242500204,0.7603033464695532,7.467404685315452,0.6256256256256253,0.7969399515524457,-0.48365868475140283
30,1,1,395.13576010500196,0.7534344027766484,7.728327089968714,0.6456456456456453,0.8265230915581463,-0.4981061483036188
31,1,1,290.723981545002,0.8044533782422829,7.6339270899687,0.6656656656656653,0.7870155303598037,-0.4776846566884012
32,1,1,309.548875625002,0.7561624906785003,7.395196286391612,0.6256256256256253,0.7879753792735442,-0.48725459453478165
33,1,1,90.786977385002,0.7223490285067671,7.690752563961091,0.6056056056056053,0.7855625455171934,-0.5111408041965129
34,1,1,-54.776494614998,0.7011443746544851,6.27385303747838,0.5855855855855853,0.7909943991302302,-0.4929266693751172
35,1,1,166.92482698500203,0.745654006693641,6.917441313382378,0.5855855855855853,0.7924580979855026,-0.48693923759589564
36,1,1,1289.664279785002,0.8065596266442041,8.067778722572045,0.6456456456456453,0.807146805115087,-0.46598820528336105
37,1,1,534.8170938650021,0.7213754447717788,7.454050967518658,0.5855855855855853,0.8033540979272101,-0.49915019300010094
38,1,1,285.961633385002,0.8259790191640458,7.7791962863916,0.7057057057057055,0.8208426638670977,-0.45977899946457734
39,1,1,219.73747786500203,0.8486631078403344,7.8979469714330595,0.6856856856856854,0.7992110538490647,-0.46275572808293974
40,1,1,277.49632010500204,0.7778961718744217,7.943672910031279,0.6256256256256253,0.8126967239489096,-0.49672566383947425
41,1,1,240.855083625002,0.7374026602357295,7.126928239340376,0.6056056056056053,0.7899861177410813,-0.4813890179126351
42,1,1,537.640721385002,0.7697666792163582,7.361018479641304,0.6656656656656653,0.8031300580846761,-0.4789098415025369
43,1,1,266.39344650500203,0.7430565536573481,7.615672910031292,0.6056056056056053,0.795389555194136,-0.47754650448005903
44,1,1,375.209970025002,0.7727566083511733,7.613028964288908,0.6456456456456453,0.8125535780327531,-0.4854662028422684
45,1,1,476.949156585002,0.7194884975184606,7.496327089968706,0.6056056056056053,0.7705357009046259,-0.49010623432785716
46,1,1,210.26017354500203,0.7666858043916931,7.34175868661761,0.6256256256256253,0.8040849756287488,-0.4832297572351639
47,1,1,250.59350922500204,0.7711358020535914,7.283841313382386,0.6256256256256253,0.7734258060050084,-0.49682604574820605
48,1,1,416.29360330500197,0.7859388218249171,7.130946962521607,0.6656656656656653,0.7797526605631608,-0.4803706646116088
49,1,1,737.481282025002,0.8048266816254523,7.7793597624854485,0.6456456456456453,0.7839686087663873,-0.478977219637716
50,1,2,26070482.628173962,0.7238108373076304,3525443.16233233,6.011011011011011,0.8991093775403289,-0.42619460119620556
51,1,2,24163609.572791353,0.5968993643438302,2696388.155248401,5.930930930930931,0.9236125330469978,-0.414136241881414
52,1,2,26867452.18978816,0.8252019889026703,5510133.612989387,6.05105105105105,0.9221388166014937,-0.38769834956353877
53,1,2,22022266.059281815,0.6320601537778281,2526130.2566433814,5.930930930930931,0.915086837709268,-0.41310596666197863
54,1,2,36412654.76659223,0.8812807806375704,7935075.724207742,6.15115115115115,0.8881454476434316,-0.3677853053637655
